Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,6,7176
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,7,15062
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,8,6173
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,9,14180
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,10,4803
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,13,22
OpenEdX,Engineering/Networking-SP/SelfPaced,937efe916b273c15f642ae90493cd30744d0adaf,16,2
OpenEdX,Engineering/Networking-SP/SelfPaced,f9b9c8b97bab0e670614dd4805425d993a03981c,5,16
OpenEdX,Engineering/Networking-SP/SelfPaced,953fbfd1f84251946e328011bbdd159c8330ae40,5,6442
OpenEdX,Engineering/Networking-SP/SelfPaced,ef40a4d167ebeee8c58cb071024cffb4191f5c88,8,194
OpenEdX,Engineering/Networking-SP/SelfPaced,292f53695b8f2bcb75f08fc225b8f6c105e4a149,23,2417
OpenEdX,Engineering/Networking-SP/SelfPaced,cbc7055ee3d6bbcaa1fa68b248bd92bed0cb1304,5,1915
OpenEdX,Engineering/Networking-SP/SelfPaced,ed3bd2e3b071459104b43eed9b35757f8864a121,5,1101
OpenEdX,Engineering/Networking-SP/SelfPaced,ed3bd2e3b071459104b43eed9b35757f8864a121,6,76
OpenEdX,Engineering/Networking-SP/SelfPaced,de0d3933c547f31683836febc20751fb41929820,19,144
OpenEdX,Engineering/Networking-SP/SelfPaced,de0d3933c547f31683836febc20751fb41929820,20,1886
OpenEdX,Engineering/Networking-SP/SelfPaced,de0d3933c547f31683836febc20751fb41929820,21,1
OpenEdX,Engineering/Networking-SP/SelfPaced,0abebc702c1979102ef0436ece0ce593c0928bd2,5,425
OpenEdX,Engineering/Networking-SP/SelfPaced,41b9cc10597113eb507547c42a7f6080c9d6e178,12,2659
OpenEdX,Engineering/Networking-SP/SelfPaced,e02b09c6be3c2bb88327647f4420d210746d78bf,2,1775
OpenEdX,Engineering/Networking-SP/SelfPaced,e02b09c6be3c2bb88327647f4420d210746d78bf,3,1142
OpenEdX,Engineering/Networking-SP/SelfPaced,e02b09c6be3c2bb88327647f4420d210746d78bf,7,160
OpenEdX,Engineering/Networking-SP/SelfPaced,723292f0af52dea5b423cf4dc62469456626e3bd,5,1
OpenEdX,Engineering/Networking-SP/SelfPaced,ed09828904c87624bf7c94cfc7cdc1a96325869d,1,1467
OpenEdX,Engineering/Networking-SP/SelfPaced,f548a265b547e552945cbe6770ab34a4bdc8a3f7,6,3067
OpenEdX,Engineering/Networking-SP/SelfPaced,eafcc35703fa30ccfd3430f265052050ef78602c,16,2607
OpenEdX,Engineering/Networking-SP/SelfPaced,eafcc35703fa30ccfd3430f265052050ef78602c,17,2970
OpenEdX,Engineering/Networking-SP/SelfPaced,eafcc35703fa30ccfd3430f265052050ef78602c,18,7
OpenEdX,Engineering/Networking-SP/SelfPaced,d36afdec013e3a33eaf54e4f80592ec3dd61e1bf,1,1210
OpenEdX,Engineering/Networking-SP/SelfPaced,646213ce372340001d7b84f8e73a5c2e2cdad537,1,483
OpenEdX,Engineering/Networking-SP/SelfPaced,f9509ca470a172017cc81021c05f55ea6e62e7f2,19,821
